id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
86494088@OBS,https://observation.org/observation/86494088,OBS.86494088,HumanObservation,Observations,Vulpes vulpes,species,Animalia,DOGS_CANIDAE,Animalia|DOGS_CANIDAE,Red Fox,,1,unknown,undetermined,22.35,53.15,WGS84,,5000,Europe,Poland,PL,,Poland - Podlaskie,,,,2014-07-02,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.86494088,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
110491750@OBS,https://observation.org/observation/110491750,OBS.110491750,HumanObservation,Observations,Prunella collaris,species,Animalia,ACCENTORS_PRUNELLIDAE,Animalia|ACCENTORS_PRUNELLIDAE,Alpine Accentor,,3,unknown,undetermined,19.9438761827,49.2984369145,WGS84,,1000,Europe,Poland,PL,,Poland - Zakopane,,,,2009-09-06,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.110491750,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
119278259@OBS,https://observation.org/observation/119278259,OBS.119278259,HumanObservation,Observations,Natrix natrix,species,Animalia,Colubridae,Animalia|Colubridae,European Grass Snake,,1,unknown,undetermined,22.595186233521,53.365841876948,WGS84,,100,Europe,Poland,PL,,Poland - Biebrza NP,,,,2016-05-19,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.119278259,Stichting Natuurinformatie,CC BY-NC 4.0,2016-05-28
86050993@OBS,https://observation.org/observation/86050993,OBS.86050993,HumanObservation,Observations,Thymelicus lineola,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Essex Skipper,,1,imago,undetermined,22.72305734,53.53350229,WGS84,,25,Europe,Poland,PL,,Poland - Biebrza NP,,,,2014-07-04,54480,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.86050993,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
85440287@OBS,https://observation.org/observation/85440287,OBS.85440287,HumanObservation,Observations,Anguis fragilis,species,Animalia,Anguidae,Animalia|Anguidae,Slow Worm,,1,unknown,undetermined,22.6514911652,53.4613538802,WGS84,,10,Europe,Poland,PL,,Poland - Podlaskie,,,,2014-05-31,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.85440287,Stichting Natuurinformatie,CC BY-NC 4.0,2014-06-13
138085687@OBS,https://observation.org/observation/138085687,OBS.138085687,HumanObservation,Observations,Mareca penelope,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Eurasian Wigeon,,2,unknown,undetermined,14.8205,52.5847,WGS84,,10,Europe,Poland,PL,,Poland - Lubuskie,,,,2017-05-07,27780,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.138085687,Stichting Natuurinformatie,CC BY-NC 4.0,2017-05-08
102666849@OBS,https://observation.org/observation/102666849,OBS.102666849,HumanObservation,Observations,Passer montanus,species,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Animalia|OLD_WORLD_SPARROWS_PASSERIDAE,Eurasian Tree Sparrow,,1,unknown,undetermined,22.4954,53.429,WGS84,,5,Europe,Poland,PL,,Poland - Podlaskie,,,,2015-05-19,40020,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.102666849,Stichting Natuurinformatie,CC BY-NC 4.0,2015-05-25
157217890@OBS,https://observation.org/observation/157217890,OBS.157217890,HumanObservation,Observations,Gallinago gallinago,species,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Snipe,,2,unknown,undetermined,22.5591069801511,53.3706931052977,WGS84,,16,Europe,Poland,PL,,Poland - Biebrza NP - Budy Marsh,,,,2018-05-24,65640,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.157217890,Stichting Natuurinformatie,CC BY-NC 4.0,2018-05-24
136362573@OBS,https://observation.org/observation/136362573,OBS.136362573,HumanObservation,Observations,Dryobates minor,species,Animalia,WOODPECKERS_PICIDAE,Animalia|WOODPECKERS_PICIDAE,Lesser Spotted Woodpecker,,1,unknown,undetermined,23.85106802,52.70370089,WGS84,,10,Europe,Poland,PL,,Poland - Białowieża,,,,2017-04-06,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.136362573,Stichting Natuurinformatie,CC BY-NC 4.0,2017-04-06
157491628@OBS,https://observation.org/observation/157491628,OBS.157491628,HumanObservation,Observations,Limenitis populi,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Poplar Admiral,,2,unknown,undetermined,23.7769578024745,52.7421871433035,WGS84,,25,Europe,Poland,PL,,Poland - Białowieża,,,,2018-05-28,57780,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.157491628,Stichting Natuurinformatie,CC BY-NC 4.0,2018-05-29
